courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
PSYC124,24344,SYSTEMS NEUROSCIENCE,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 106 with a grade of c- or better;  or consent of instructor. a study of the structure and function of motor and sensory systems in vertebrate and invertebrate nervous systems.     cross-listed with cbns 124."
PSYC125,26971,NEUROPHARMACOLOGY,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 120/psyc 120. examines synaptic neurotransmitter systems, mechanisms, and pharmacological agents and effects, which are fundamental to neural information processing. cross-listed with cbns 125."
PSYC126,32013,NEUROSCIENCE OF LEARNING AND MEMORY,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 106 or psyc 110;  or consent of instructor. covers mechanisms of learning and memory across levels of analysis including genetic, neuronal, systems, and theory.  topics include the multiple memory systems, memory consolidation, working memory, emotional memory, recognition memory, spatial memory, and human amnesia.     cross-listed with cbns 126."
PSYC132,35976,PERCEPTION,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): psyc 001, psyc 002, psyc 011, psyc 012 with grades of ""c-"" or better; or equivalents; or consent of instructor. an analysis of the role played by sensory mechanisms, experiences, expectations, and needs in recognizing objects in the environment."
PSYC140,28210,SOCIAL PSYCHOLOGY,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): psyc 001, psyc 002, psyc 011, psyc 012 with grades of ""c-"" or better; or equivalents; or consent of instructor. the relationship between the individual and the group, including such topics as conformity and deviance, attraction and prejudice, altruism and aggression, and the social nature of attitudes."
PSYC142,37222,INDUSTRIAL/ORGANIZATIONAL PSYCHOLOGY,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): psyc 002. introduction to the field of industrial/organizational psychology covering fundamental theory and research in personnel and organizations. topics include employee selection and training, performance appraisal, motivation, organizational dynamics, leadership, and job satisfaction."
PSYC150,18894,PERSONALITY,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): psyc 001, psyc 002, psyc 011, psyc 012 with grades of ""c-"" or better; or equivalents; or consent of instructor. a survey of the principal theories of personality with attention to the experimental methods and findings on which they are based."
PSYC160,35977,LIFE SPAN DEVELOPMENT,Psychology,"5 units, lecture, 3 hours; discussion, 1 hour; term paper, 3 hours. prerequisite(s): psyc 001 with a grade of c- or better; psyc 002 with a grade of c- or better; psyc 011 with a grade of c- or better; psyc 012 with a grade of c- or better. introduces the biological, social, and cognitive processes that influence development from the prenatal period through late adulthood. topics include development in physical, motor, perceptual, cognitive, emotional, and social areas. includes discussion of issues related to intellectual functioning, personality, social roles and relationships, coping and adjustment, and aging."
PSYC161,23835,SOCIOEMOTIONAL AND PERSONALITY DEVELOPMENT,Psychology,"5 units, lecture, 3 hours; discussion, 1 hour; term paper, 3 hours. prerequisite(s): psyc 001 with a grade of c- or better; psyc 002 with a grade of c- or better; psyc 011 with a grade of c- or better; psyc 012 with a grade of c- or better;  or consent of instructor. a study of the development of human personality from birth through late adolescence. emphasizes the impact of interpersonal relationships on the acquisition of human traits, emotional reactions, and patterns of adjustment."
PSYC166A,37223,INFANCY,Psychology,"4 units,lecture, 3 hours; discussion, 1 hour. prerequisite(s): psyc 001, psyc 002, psyc 011, psyc 012 all with grades of ""c-"" or better; or consent of instructor. covers current theory and research on development during the period of infancy. addresses the key biological, cognitive, emotional, and social developments during this period."
PSYC178,35978,HEALTH PSYCHOLOGY,Psychology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): psyc 002 or soc 001 or soc 001h. an examination of the importance of interpersonal relationships to physical health and effective medical care. applies social psychological perspectives to such topics as stress-related diseases, placebo effects, doctor-patient interactions, dying, and the hospital environment."
PSYC182E,38270,LABORATORY IN PSYCHOLOGY: CHILD DEVELOPMENT,Psychology,"5 units, lecture, 3 hours; research, 3 hours; term paper, 3 hours. prerequisite(s): for psyc 182e: psyc 160 or psyc 161 or psyc 162 or psyc 163 with a grade of c- or better or consent of instructor; for psyc 182f: psyc 132 with a grade of c- or better or consent of instructor; for psyc 182g: psyc 140 and psyc 150 with a grade of c- or better or consent of instructor; for psyc 182i: psyc 012 with a grade of c- or better or consent of instructor; for psyc 182j; psyc 132 or psyc 134 with a grade of c- or better or consent of instructor; for psyc 182k: psyc 012 with a grade of c- or better or consent of instructor; for psyc 182m: psyc 134 with a grade of c- or better or consent of instructor; for psyc 182n: psyc 160 or psyc 161 or psyc 162 or psyc 163 with a grade of c- or better or consent of instructor. provides hands-on experience in various research approaches in psychology. involves in-class discussion of research design and methods as well as outside data collection.  e.   child development;  f.   sensation and perception;  g.   social and personality psychology;  i.   motor behavior;  j.   attention and memory;  k.   design and implementation of experiment;  m.   measuring and training cognition;  n.   adult development and aging;   course is repeatable as content or topic changes to a maximum of 15 units."
PSYC182J,37225,LABORATORY IN PSYCHOLOGY: ATTENTION AND MEMORY,Psychology,"5 units, lecture, 3 hours; research, 3 hours; term paper, 3 hours. prerequisite(s): for psyc 182e: psyc 160 or psyc 161 or psyc 162 or psyc 163 with a grade of c- or better or consent of instructor; for psyc 182f: psyc 132 with a grade of c- or better or consent of instructor; for psyc 182g: psyc 140 and psyc 150 with a grade of c- or better or consent of instructor; for psyc 182i: psyc 012 with a grade of c- or better or consent of instructor; for psyc 182j; psyc 132 or psyc 134 with a grade of c- or better or consent of instructor; for psyc 182k: psyc 012 with a grade of c- or better or consent of instructor; for psyc 182m: psyc 134 with a grade of c- or better or consent of instructor; for psyc 182n: psyc 160 or psyc 161 or psyc 162 or psyc 163 with a grade of c- or better or consent of instructor. provides hands-on experience in various research approaches in psychology. involves in-class discussion of research design and methods as well as outside data collection.  e.   child development;  f.   sensation and perception;  g.   social and personality psychology;  i.   motor behavior;  j.   attention and memory;  k.   design and implementation of experiment;  m.   measuring and training cognition;  n.   adult development and aging;   course is repeatable as content or topic changes to a maximum of 15 units."
PSYC200A,24364,FUNDAMENTALS OF NEUROSCIENCE,Psychology,"3 units, lecture, 3 hours. prerequisite(s): graduate standing or consent of instructor. the fundamentals of neuroscience in molecular and cellular mechanisms, neural and hormonal systems, and neural control of behavior. cross-listed with nrsc 200a."
PSYC203A,38535,COGNITON AND COGNTIVE NEUROSCIENCE,Psychology,"3 units, lecture, 3 hours. prerequisite(s):  restricted to major(s) biomedical sciences, neuroscience, psychology;  graduate standing;  or consent of instructor. addresses cognitive theories and cognitive neuroscience approaches to the study of perception, attention, and action.   course is repeatable to a maximum of 6 units."
PSYC207A,19045,THEORIES IN DEVELOPMENTAL PSYCHOLOGY,Psychology,"3 units, lecture, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. a consideration of major issues and theories in the area of developmental psychology. covers social learning theory, structural theories, sociobiology, and theories of personality development. topics include life span models and plasticity of human behavior."
PSYC211,28967,INTRODUCTION TO QUANTITATIVE METHODS IN PSYCHOLOGY,Psychology,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. examines basic issues related to the application of statistical inference, effect size estimation, and significance tests to various research paradigms in psychology. discusses aspects of psychological measurement and the appropriateness of particular statistical techniques to different types of psychological data."
PSYC227,37226,RESEARCH METHODS IN SOCIAL AND PERSONALITY PSYCHOLOGY,Psychology,"3 units, lecture, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. covers laboratory and field research methods, personality and dependent variable measurement, research design, bias and artifacts, and meta-analysis.  also addresses interview and surveys, focus groups, research publication, and ethics."
PSYC233,38099,RESEARCH METHODS IN COGNITION AND COGNITIVE NEUROSCIENCE,Psychology,"3 units, lecture, 3 hours. prerequisite(s):  restricted to major(s) biomedical sciences, psychology;  graduate standing;  or consent of instructor. develops skills in various research methodologies currently available to cognitive scientists including programming languages, computational approaches, and neuroimaging methods (eeg, mri, tms). emphasizes learning to implement the method. includes critically examining assumptions of the method in how it is being used to address theoretical and empirical questions.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. course is repeatable to a maximum of 9 units."
PSYC258,28898,SEMINAR IN DEVELOPMENTAL PSYCHOLOGY,Psychology,"3 units, seminar, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. selected advanced topics in developmental psychology.  graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC263,38271,SEMINAR IN BEHAVIORAL NEUROSCIENCE,Psychology,"3 units, seminar, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. consists of readings, oral reports, and discussions by students, faculty, and visiting scholars of selected areas in behavioral neuroscience.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 36 units."
PSYC270,19053,CURRENT RESEARCH IN QUANT,Psychology,"2 units, seminar, 2 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. discusses selected research topics in quantitative psychology. emphasizes contemporary research design and quantitative problems relevant to the on going research areas of graduate students and faculty.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
PSYC271,36810,CURRENT ISSUES IN COGNITION,Psychology,"3 units, seminar, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. examines current issues in memory, learning, and psycholinguistics. emphasizes recent and important experimental findings and theoretical development.  graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC283,38153,PROSEMINAR ON CURRENT RESEARCH IN COGNITIVE PSYCHOLOGY,Psychology,"1 unit, seminar, 1 hour; written work, 4 hours per quarter; extra reading, 1 to 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. presentations by students, departmental faculty, or visiting scholars describing current research in cognitive psychology.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 15 units."
PSYC284,26826,PROSEMINAR ON CURRENT RESEARCH IN DEVELOPMENTAL PSYCHOLOGY,Psychology,"1 unit, seminar, 1 hour; written work, 4 hours per quarter; extra reading, 1 to 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. presentations by students, departmental faculty, and visiting scholars describing current research in developmental psychology.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 15 units."
PSYC285,26940,PROSEMINAR ON CURRENT RESEARCH IN SOCIAL/PERSONALITY PSYCHOLOGY,Psychology,"1 unit, seminar, 1 hour; written work, 4 hours per quarter; extra reading, 1 to 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. presentations by students, departmental faculty, and visiting scholars describing current research in social/personality psychology.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 15 units."
PSYC286E,29976,PROSEM: DIVERSTY & INEQUALTY,Psychology,"1 unit, seminar, 9 hours per quarter; extra reading, 18 hours per quarter. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. discusses assigned readings on the study of diversity and inequality through the lens of psychology and related disciplines. includes presentations by students, faculty, and visiting scholars describing current research in diversity and inequality.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 15 units."
PSYC286F,29977,HEALTH & WELLBEING,Psychology,"1 unit, seminar, 9 hours; extra reading, 18 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. discusses assigned readings on the study of health and well-being through the lens of psychology and related disciplines. includes presentations by students, faculty, and visiting scholars describing current research in health and well-being.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 15 units."
PSYC287,24550,COLLOQUIUM IN NEUROSCIENCE,Psychology,"1 unit, colloquium, 1 hour. prerequisite(s):  restricted to major(s) neuroscience, psychology;  graduate standing;  or consent of instructor. involves oral presentations on current research topics in neuroscience by visiting scholars, faculty, and students.  graded satisfactory (s) or no credit (nc). course is repeatable.  cross-listed with nrsc 287."
PSYC289,19060,SPECIAL TOPICS IN NEUROSCIENCE,Psychology,"2 units, seminar, 2 hours. prerequisite(s): graduate standing or consent of instructor. an interdisciplinary seminar consisting of student presentations and discussion of selected topics in neuroscience. content and instructor(s) vary each time course is offered. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable. cross-listed with bch 289, biol 289, chem 289, entm 289, and nrsc 289."
PSYC291,19069,INDIVIDUAL STUDY IN COORDINATED AREAS,Psychology,"1 to 6 units, research, 3 to 18 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. a program of study designed to advise and assist candidates who are preparing for doctoral examinations. units do not count toward the master's degree.  graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC292,19097,CONCURRENT ANALYTICAL STUDIES,Psychology,"1 to 4 units, research, 3 to 12 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. each 292 course will be taken concurrently with a 100-series course, but on an individual basis. it will be devoted to specific additional projects related to the 100-series course. faculty guidance and evaluation will be provided through the quarter.  graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC296,36593,RESEARCH TUTORIAL,Psychology,"3 units, research, 6 hours; extra reading, 3 hours; written work, 3 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. research performed under the supervision of a faculty advisor.   course is repeatable to a maximum of 18 units."
PSYC297,19153,DIRECTED RESEARCH,Psychology,"1 to 6 units, research, 3 to 18 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. minor research studies or exploratory work toward the development of the dissertation problem.  graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC299,19183,RESEARCH FOR THESIS OR DISSERTATION,Psychology,"1 to 12 units, thesis, 3 to 36 hours. prerequisite(s):  restricted to major(s) psychology;  graduate standing;  or consent of instructor. research for thesis or dissertation.  graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC301,37227,TEACHING PSYCHOLOGY AT THE COLLEGE LEVEL,Psychology,"2 units, seminar, 1 hour; practicum, 3 hours. prerequisite(s): admission to graduate standing in psychology teaching assistant development. program offered by the teaching assistant development office of the graduate division. required prior to or concurrent with the student's first teaching assistant appointment. may be waived by petition based on previous experience. graded satisfactory (s) or no credit (nc). course is repeatable."
PSYC309B,26827,PROFESSIONAL DEVELOPMENT,Psychology,"3 units, seminar, 3 hours. prerequisite(s): graduate standing in psychology.  designed for advanced graduate students planning a teaching and/or research career in psychology. covers teaching; conducting research; interviewing, writing, and oral presentation skills; the academic job market and the job application process; and nonacademic careers. graded satisfactory (s) or no credit (nc)."
PBHL200,37946,FOUNDATIONS OF PUBLIC HEALTH,Public Health-Social Medicine,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. provides an introductory survey of the history, science, and principles of public health. examines the major causes of morbidity and mortality in inland southern california, the united states, and globally.  introduces public health perspectives on health and illness, health inequities, and public health policy and practice locally, nationally, and globally."
PBHL201,37947,RESEARCH METHODS FOR PUBLICH HEALTH,Public Health-Social Medicine,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. aims to develop public health researchers who are deeply committed to driving meaningful change. offers a practical exploration of the principles and practices of public health research such as design, communication, advocacy, and intervention with a central focus on health equity."
PBHL202A,37948,COMMUNITY HEALTH THEORY AND PRACTICE I,Public Health-Social Medicine,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. covers the theories and practices that describe and influence community health promotion. includes examining the personal, social, and environmental factors that influence health status and behaviors, as well as the influence of individuals, groups, institutions, societal structures, and policies on these behaviors."
PBPL001,17586,INTRODUCTION TO PUBLIC POLICY ANALYSIS,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour. introduces the basic concepts and processes underlying policy analysis. includes application of these concepts to economic and budgetary policy, health care policy, welfare and social security policy, education policy, and environmental and energy policy"
PBPL002,28401,POLITICS AND PUBLIC POLICY,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. an introduction to the political institutions and processes that govern public policy in the united states and the tools and techniques used in public policy analysis. part i presents policymaking models and methods of policy analysis. part ii applies these concepts to specific policy areas, illustrated by real-world case studies."
PBPL004,28397,"ETHICS, PROFESSIONALISM, AND PUBLIC POLICY",Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour. examines extent to which issues of fairness, social justice, and morality should factor into the choice of public policies.  includes trade-off between social justice and efficiency; actors whose value perspectives often reflect public policy; ethical standards to which policy makers and practitioners are held; and professionalism in public service."
PBPL006,33902,INTRODUCTION TO PUBLIC HEALTH,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour. introduces the field of public health as a multidisciplinary area of research and practice. provides an appreciation of its approaches, goals, and history. surveys its many conceptual and methodological tools for addressing a range of health issues."
PBPL010,35981,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour. provides an introduction to the fundamental concepts of geographic information systems (gis), geographic information science (giscience), and their application to public policy and social science research. also covers the use of geographic data and software in public policy and related practice."
PBPL050,37699,INTRODUCTION TO PUBLIC POLICY MAJOR AND UNIVERSITY,Public Policy,"2 units, lecture, 1 hour; written work, 3 hours. prerequisite(s): none. introduces the public policy major. provides opportunities to engage with public policy faculty and advisors to learn about research and program requirements. explores the structure, culture, and various support systems in place in the university. addresses student success in the major.  graded satisfactory (s) or no credit (nc)."
PBPL127,38322,SOCIOLOGICAL DETERMINANTS OF HEALTH,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 5 hours; research, 3 hours. prerequisite(s): soc 001 with a grade of c- or better or soc 001h with a grade of c- or better;  or consent of instructor. introduces the role that social factors play in shaping the occurrence and distribution of disease and death in populations with an emphasis on socioeconomic status, racism, social relationships and social stress. a particular emphasis is placed on sociological origins of health inequalities.     cross-listed with soc 127."
PBPL172,37702,ENVIRONMENTAL POLICY,Public Policy,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): econ 003 or econ 003h;  restricted to class level standing of junior, or  senior. provides overview of united states and california environmental policy. examines economic and political justification for government intervention, different policy tools available to improve environmental quality, and the political, legal, and economic forces that determine policy outcomes. reviews current environmental issues including climate change, air quality, water quality, and energy policy."
PBPL180,35987,LAW AND JUSTICE,Public Policy,"4 units, lecture, 3 hours; individual study, 2 hours; written work, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior. explores various topics of public policy within the instructor's area of specialization.   course is repeatable as content or topic changes to a maximum of 12 units."
PBPL182,38305,URBAN PROBLEMS,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour; term paper, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior. an interdisciplinary examination of selected urban problems such as civil disorders, transportation, housing, welfare, and planning.     cross-listed with soc 182, and urst 182.  credit is awarded for one of the following  pbpl 182,  soc 182,  urst 182, or pbpl 178."
PBPL186,35545,POLICY EVALUATION IN DEVELOPMENT ECONOMICS,Public Policy,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): econ 003 or econ 003h;  or consent of instructor. an overview of randomized impact evaluation as a tool of the causal revolution in development economics. introduces experimental methods and covers the application of those methods to conducting impact evaluations in a range of development settings including education, health, labor, and economics of the firm, microfinance, environment, and political economy.     cross-listed with econ 186."
PBPL191,17592,SEMINAR IN PUBLIC POLICY,Public Policy,"2 units, seminar, 2 hours. prerequisite(s): upper-division standing or consent of instructor. seminars by faculty, invited policy scholars, and policy makers on timely policy issues facing the region, state, nation, and the world, such as economic and budgetary policy, health care policy, welfare and social security policy, education policy, environmental and energy policy, and foreign policy. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
PBPL198I,17595,INDIVIDUAL INTERNSHIP IN PUBLIC POLICY,Public Policy,"1 to 12 units, written work, 1 to 12 hours; internship, 2 to 24 hours. prerequisite(s): junior standing in public policy; consent of instructor. internship in a public or quasi-public agency or business concern in matters relating to public policy. course is repeatable to a maximum of 16 units."
PBPL200,17596,INTRODUCTION TO POLICY ANALYSIS,Public Policy,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. studies the process by which policy decisions are made. focuses on the analytical tools (benefit-cost, cost effectiveness, decision tree, and optimization analysis) that are used to choose among competing proposals as well as the analytical motivations for choice."
PBPL205,37726,RESEARCH DESIGN AND STATISTICS FOR PUBLIC POLICY,Public Policy,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. introduces research design and techniques for writing graduate-level research papers. covers measurement, sampling, experimental and quasi-experimental designs, survey research and instrumentation, field research, and research using available data. also introduces data processing, elementary statistics, and data visualization techniques.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
PBPL216,33708,PUBLIC LEADERSHIP AND MANAGEMENT,Public Policy,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. introduction to the basic principles and practices of leadership suitable for local, regional, national, and global/international settings. also assists in developing the capacity to be a public leader.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
PBPL222,22410,"ETHICS, PROFESSIONALISM, AND THE NORMATIVE BASES OF PUBLIC POLICIES",Public Policy,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. examines the normative bases of public policies; in other words, the extent to which issues of fairness, social justice, and morality should factor into the choice of public policies.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
PBPL233,37727,ENVIRONMENTAL ECONOMICS AND POLICY,Public Policy,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):  graduate standing;  or consent of instructor. theory and practice of environmental economics and its application to environmental policymaking. applies tools of economic theory to problems of managing natural resources and environmental quality, with particular emphasis on externalities, sustainability, pollution control, resource extraction, and environmental valuation. alternative public policy instruments for environmental management are considered and evaluated.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   credit is awarded for one of the following  pbpl 233 or econ 226."
PBPL270F,37729,BORDERLAND POLICIES AND COMMUNITY PROCESSES,Public Policy,"4 units, seminar, 3 hours; term paper, 1 hour; research, 2 hours. prerequisite(s): graduate standing or consent of instructor. introduces the experiences of immigrants in the southwest borderland region of the u.s. explores immigration history, trends, and legislation. examines the immigration policy impact on economic and health indicators as well as the family systems and dynamics. attention to change strategies used to empower the immigrant community. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor"
PBPL298I,33709,INDIVIDUAL INTERNSHIP,Public Policy,"1 to 12 units, internship, 2 to 24 hours; written work 1 to 12 hours. prerequisite(s): graduate standing or consent of instructor. internship in a public or quasi-public agency concerning matters relating to public policy.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
RLST002,35676,INTRODUCTION TO COMPARATIVE SCRIPTURE,Religious Studies,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. an introduction to the comparisons of scripture. includes sikhism, zoroastrianism, judaism, christianity, islam, hinduism, buddhism, taoism, and confucianism. also addresses a number of the modern new religious movements."
RLST006,37257,JESUS,Religious Studies,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. prerequisite(s): none. examines the figure of jesus from two main perspectives: historical investigations of jesus in his first-century context and modern representations of jesus in the united states."
RLST012,19276,RELIGIOUS MYTHS AND RITUALS,Religious Studies,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. an introduction to the meanings, origins, and functions of religion; the roles of myths, rituals, and symbols; and images of transcendence. examines religious beliefs and expressions from diverse cultural perspectives. utilizes materials from indigenous native (north and south) american, african american, and/or asian american religions. cross-listed with etst 012. credit is awarded for only one of etst 012/rlst 012 or etst 012h/rlst 012h."
RLST016,37259,SEXUALITY AND RELIGION IN GLOBAL PERSPECTIVE,Religious Studies,"4 units, lecture, 3 hours; discussion, 1 hour. introduces sexuality studies within the comparative study of religion, rooted in the theoretical frameworks of gender and sexuality studies. explores the central themes of transnationalism and global dynamics of power. focuses on critical heterosexuality studies with some lgbt studies and an underlying queer studies perspective.     cross-listed with gsst 016.  credit is awarded for one of the following  rlst 016,  gsst 016,  gsst 016h, or rlst 016h."
RLST100,37262,THE PROBLEM OF RELIGION,Religious Studies,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): one religious studies course or upper-division standing or consent of instructor. a survey of critics and defenders of religion who debate meanings and functions of religion in relation to modern challenges such as religious pluralism, secularism, and scientific inquiry.  addresses topics of assigned instructor's expertise"
RLST105,37263,"GENDER, SEXUALITY, AND ISLAM",Religious Studies,"4 units, lecture, 3 hours; written work, 2 hours; term paper, 1 hour. prerequisite(s): restricted to class level standing of sophomore, junior, or  senior. focuses on the intersections between gender, sexuality, and religion in islamicate societies. discusses the ways in which those formations have been shaped by histories of slavery, imperialism, colonialism, human rights discourses, neoliberalism, contemporary practices of islamophobia, nationalism, and global lgbtq activism.     cross-listed with gsst 110, and meis 110."
RLST114,37266,JAINISM: AN INDIAN RELIGION OF NON-VIOLENCE,Religious Studies,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. introduces the indian religion of jainism. explores various aspects of jainism including history, sectarian divisions, texts, doctrines, practices, and its relationship with other indian traditions."
RLST126,37267,ISRAEL: THE JEWISH STATE,Religious Studies,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): upper-division standing or consent of instructor. examines zionism and the state of israel in the period from the first zionist congress in 1896 to the present.  addresses religious, social, economic, and political aspects of the jewish state. cross-listed with hist 127."
RLST140,37268,LANGUAGE AND TEXT IN CLASSICAL SOUTH ASIAN RELIGIONS,Religious Studies,"4 units, seminar, 3 hours; written work, 6 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. prepares to undertake independent research of literary sources in south asian religious traditions. focuses on the linguistic landscape of sanskrit within the context of religious and culturally revered literary texts. topics include literature, translation theories, and introductory grammatical and syntactic analysis."
RLST150,37269,ISLAM IN SOUTHEAST ASIA,Religious Studies,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): upper-division standing or consent of instructor. introduces the religious, intellectual, and cultural history of muslim southeast asia. includes indonesia, malaysia, and brunei, as well as minority communities in singapore, thailand, cambodia, and the southern philippines. examines a series of contextualized readings in translated primary sources. approaches texts from historical, anthropological, literary, and other disciplinary perspectives. cross-listed with seas 150."
RLST162,37158,WOMEN'S ISSUES IN MODERN MUSLIM THOUGHT,Religious Studies,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): one religious studies course or upper-division standing or consent of instructor. introduces complex religious and social issues related to the role of women in modern islamic societies ranging from north america to southeast asia. examines muslim writings produced during the past century. cross-listed with gsst 162."
RLST190,19295,SPECIAL STUDIES,Religious Studies,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): consent of instructor and department chair. to be taken to meet special curricular problems. course is repeatable to a maximum of 16 units."
RLST193,37271,SENIOR SEMINAR,Religious Studies,"4 units, seminar, 3 hours; written work, 3 hours. prerequisite(s): upper-division standing or consent of instructor advanced undergraduate study of specific religious texts, traditions, or key underlying themes as set by the  instructor.  topics vary each year."
RLST197,25259,RESEARCH FOR UNDERGRADUATES,Religious Studies,"1 to 2 units, individual research, 3 to 6 hours. prerequisite(s): upper-division standing or consent of instructor. directed individual research. normally graded satisfactory (s) or no credit (nc), but students may petition the instructor for a letter grade on the basis of assigned extra work or examination. course is repeatable to a maximum of 4 units."
RLST203,37272,HERMENEUTICS AND HISTORY,Religious Studies,"4 units, seminar, 3 hours; term paper, 1 hour; extra reading, 2 hours. prerequisite(s):  graduate standing;  or consent of instructor. advanced topics in the critical study of religion, history, social theory, and hermeneutics. this course serves as the core course for the hermeneutics and history ph.d. track in religious studies."
